user_id,date,treatment,y,cost,log_propensity
1,2024-01-01,1,1250.5,320.0,-0.693
2,2024-01-01,0,890.2,250.0,-0.356
3,2024-01-02,1,1580.3,410.0,-0.511
4,2024-01-02,0,720.8,180.0,-0.223
5,2024-01-03,1,1420.0,380.0,-0.847
6,2024-01-03,0,980.5,270.0,-0.446
7,2024-01-04,1,1680.9,450.0,-0.598
8,2024-01-04,0,650.3,160.0,-0.287
9,2024-01-05,1,1350.7,340.0,-0.735
10,2024-01-05,0,820.4,220.0,-0.398
11,2024-01-06,1,1590.2,420.0,-0.521
12,2024-01-06,0,710.6,190.0,-0.312
13,2024-01-07,1,1480.5,400.0,-0.663
14,2024-01-07,0,870.9,240.0,-0.423
15,2024-01-08,1,1720.1,470.0,-0.578
16,2024-01-08,0,690.5,170.0,-0.265
17,2024-01-09,1,1380.3,350.0,-0.795
18,2024-01-09,0,910.7,260.0,-0.487
19,2024-01-10,1,1620.8,430.0,-0.542
20,2024-01-10,0,740.2,200.0,-0.334
